Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,overall,Gender
1977,164170,207282,226569,217291,188776,180037,168898,150195,150058,155589,157702,155628,148818,145184,122331,88817,52059,31949,2711353,Female
1978,157906,198900,224074,220263,192758,176515,174453,151395,150242,153931,156031,160155,141585,144347,123514,91154,53203,33194,2703620,Female
1979,155217,189127,220278,223256,196946,175288,178175,153103,150816,151990,154621,164202,134915,143667,124735,93271,54618,34362,2698587,Female
1980,154484,179661,214569,226149,200940,175140,181531,153207,150832,150133,154192,157843,138478,142958,125565,94714,56891,35750,2693037,Female
1981,154690,169560,210628,225169,204911,176172,183160,155549,149125,148855,152731,154413,142304,139929,125433,96257,58866,37588,2685340,Female
1982,158052,159496,204669,224034,208427,179466,175194,165833,148374,147776,152035,151548,146713,135130,125183,96737,60239,38299,2677205,Female
1983,160050,153246,196127,221767,211500,182811,171341,171123,149448,147759,150521,150076,150991,128611,124339,97890,61911,39534,2669045,Female
1984,159854,151370,186342,217754,215245,187317,170124,174742,150652,148201,148470,148929,154802,122683,124055,98846,64107,40764,2664257,Female
1985,158847,151204,177415,211605,217816,191782,170624,178419,150773,148132,146671,148610,148969,126280,123337,99719,65238,42935,2658376,Female
1986,158020,152387,167803,207927,216531,195918,171934,180402,153105,146413,145255,147323,146007,129777,120654,99402,66259,44332,2649449,Female
1987,157463,155514,157911,202314,215172,198785,175321,172312,163508,145872,144265,146887,143449,134294,116854,99682,67429,46585,2643617,Female
1988,157450,156999,151670,193215,212024,200139,178527,168519,168524,146841,144551,145613,142337,138454,111446,99428,68679,48705,2633121,Female
1989,158677,157169,150237,183755,208113,203377,183373,167852,172807,148421,145477,144256,141997,142516,106677,99559,69651,51111,2635025,Female
1990,158442,157245,150920,175457,204881,207194,189051,169000,176825,148868,145621,142719,141925,137626,110482,98967,70038,52144,2637405,Female
1991,158296,156814,152552,165970,203155,207470,194323,171245,179392,151616,144176,141567,141066,135163,114011,97423,70291,54285,2638815,Female
1992,158803,156822,155822,157329,198282,207417,197907,175567,172130,162291,144022,140955,140763,132993,118135,94556,70798,55756,2640348,Female
1993,158136,158097,157803,152253,192121,206968,201714,180305,169148,168208,145488,141761,139641,132054,121944,90202,70927,57271,2644041,Female
1994,157791,159180,157557,151236,185372,205162,205579,185435,168548,172404,147117,142546,138425,131453,125206,86259,71011,58587,2648868,Female
1995,155813,158300,157274,151994,178979,201370,208364,190550,169437,176275,147737,142651,137411,131388,121164,90014,71145,60471,2650337,Female
